
Train set: Average loss: 0.5347, Accuracy: 125/425 (29%)


Train set: Average loss: 0.1463, Accuracy: 321/425 (76%)


Train set: Average loss: 0.0448, Accuracy: 374/425 (88%)


Train set: Average loss: 0.0320, Accuracy: 381/425 (90%)


Train set: Average loss: 0.0233, Accuracy: 391/425 (92%)


Train set: Average loss: 0.0180, Accuracy: 397/425 (93%)


Train set: Average loss: 0.0147, Accuracy: 401/425 (94%)


Train set: Average loss: 0.0144, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0087, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0171, Accuracy: 402/425 (95%)


 The epoch is 10, average recall: 0.8793, average precision: 0.6220,average F1: 0.7286, average accuracy: 0.6780, average AUC: 0.9195
Train set: Average loss: 0.0118, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0073, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0121, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0082, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0047, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0092, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0106, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0118, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0110, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0090, Accuracy: 411/425 (97%)


 The epoch is 20, average recall: 0.7759, average precision: 0.8491,average F1: 0.8108, average accuracy: 0.8220, average AUC: 0.9201
Train set: Average loss: 0.0114, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0042, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0059, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0152, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0135, Accuracy: 405/425 (95%)


Train set: Average loss: 0.0091, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0164, Accuracy: 406/425 (96%)


Train set: Average loss: 0.0085, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0052, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0134, Accuracy: 415/425 (98%)


 The epoch is 30, average recall: 0.7414, average precision: 0.8600,average F1: 0.7963, average accuracy: 0.8136, average AUC: 0.9195
Train set: Average loss: 0.0076, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0042, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0042, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0041, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0066, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0033, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0048, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0081, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0037, Accuracy: 419/425 (99%)


 The epoch is 40, average recall: 0.7241, average precision: 0.8750,average F1: 0.7925, average accuracy: 0.8136, average AUC: 0.9178
Train set: Average loss: 0.0027, Accuracy: 420/425 (99%)


