
Train set: Average loss: 0.0659, Accuracy: 261/425 (61%)


Train set: Average loss: 0.0619, Accuracy: 283/425 (67%)


Train set: Average loss: 0.0588, Accuracy: 298/425 (70%)


Train set: Average loss: 0.0556, Accuracy: 310/425 (73%)


Train set: Average loss: 0.0539, Accuracy: 320/425 (75%)


Train set: Average loss: 0.0510, Accuracy: 331/425 (78%)


Train set: Average loss: 0.0493, Accuracy: 319/425 (75%)


Train set: Average loss: 0.0487, Accuracy: 320/425 (75%)


Train set: Average loss: 0.0458, Accuracy: 329/425 (77%)


Train set: Average loss: 0.0458, Accuracy: 326/425 (77%)


 The epoch is 10, average recall: 0.6724, average precision: 0.6842,average F1: 0.6783, average accuracy: 0.6864, average AUC: 0.7957
Train set: Average loss: 0.0446, Accuracy: 336/425 (79%)


Train set: Average loss: 0.0406, Accuracy: 339/425 (80%)


Train set: Average loss: 0.0426, Accuracy: 342/425 (80%)


Train set: Average loss: 0.0363, Accuracy: 354/425 (83%)


Train set: Average loss: 0.0375, Accuracy: 357/425 (84%)


Train set: Average loss: 0.0381, Accuracy: 358/425 (84%)


Train set: Average loss: 0.0430, Accuracy: 345/425 (81%)


Train set: Average loss: 0.0353, Accuracy: 357/425 (84%)


Train set: Average loss: 0.0314, Accuracy: 366/425 (86%)


Train set: Average loss: 0.0346, Accuracy: 364/425 (86%)


 The epoch is 20, average recall: 0.7241, average precision: 0.7925,average F1: 0.7568, average accuracy: 0.7712, average AUC: 0.8638
Train set: Average loss: 0.0306, Accuracy: 380/425 (89%)


Train set: Average loss: 0.0325, Accuracy: 365/425 (86%)


Train set: Average loss: 0.0273, Accuracy: 379/425 (89%)


Train set: Average loss: 0.0299, Accuracy: 374/425 (88%)


Train set: Average loss: 0.0269, Accuracy: 378/425 (89%)


Train set: Average loss: 0.0312, Accuracy: 363/425 (85%)


Train set: Average loss: 0.0250, Accuracy: 379/425 (89%)


Train set: Average loss: 0.0288, Accuracy: 380/425 (89%)


Train set: Average loss: 0.0256, Accuracy: 380/425 (89%)


Train set: Average loss: 0.0232, Accuracy: 389/425 (92%)


 The epoch is 30, average recall: 0.7414, average precision: 0.7818,average F1: 0.7611, average accuracy: 0.7712, average AUC: 0.8549
Train set: Average loss: 0.0260, Accuracy: 377/425 (89%)


Train set: Average loss: 0.0191, Accuracy: 392/425 (92%)


Train set: Average loss: 0.0297, Accuracy: 375/425 (88%)


Train set: Average loss: 0.0237, Accuracy: 388/425 (91%)


Train set: Average loss: 0.0190, Accuracy: 389/425 (92%)


Train set: Average loss: 0.0211, Accuracy: 393/425 (92%)


Train set: Average loss: 0.0179, Accuracy: 397/425 (93%)


Train set: Average loss: 0.0206, Accuracy: 386/425 (91%)


Train set: Average loss: 0.0207, Accuracy: 394/425 (93%)


Train set: Average loss: 0.0150, Accuracy: 402/425 (95%)


 The epoch is 40, average recall: 0.8448, average precision: 0.7313,average F1: 0.7840, average accuracy: 0.7712, average AUC: 0.8549
Train set: Average loss: 0.0215, Accuracy: 384/425 (90%)


