
Train set: Average loss: 0.0632, Accuracy: 297/425 (70%)


Train set: Average loss: 0.0488, Accuracy: 337/425 (79%)


Train set: Average loss: 0.0391, Accuracy: 350/425 (82%)


Train set: Average loss: 0.0316, Accuracy: 372/425 (88%)


Train set: Average loss: 0.0285, Accuracy: 382/425 (90%)


Train set: Average loss: 0.0223, Accuracy: 389/425 (92%)


Train set: Average loss: 0.0170, Accuracy: 395/425 (93%)


Train set: Average loss: 0.0137, Accuracy: 403/425 (95%)


Train set: Average loss: 0.0131, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0138, Accuracy: 403/425 (95%)


 The epoch is 10, average recall: 0.5345, average precision: 0.7045,average F1: 0.6078, average accuracy: 0.6610, average AUC: 0.7474
Train set: Average loss: 0.0114, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0111, Accuracy: 405/425 (95%)


Train set: Average loss: 0.0088, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0119, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0100, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0065, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0061, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0071, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0100, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0040, Accuracy: 420/425 (99%)


 The epoch is 20, average recall: 0.6724, average precision: 0.8298,average F1: 0.7429, average accuracy: 0.7712, average AUC: 0.8282
Train set: Average loss: 0.0045, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0080, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0084, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0069, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0070, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0064, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0047, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0047, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0032, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0026, Accuracy: 422/425 (99%)


 The epoch is 30, average recall: 0.7069, average precision: 0.8723,average F1: 0.7810, average accuracy: 0.8051, average AUC: 0.8609
Train set: Average loss: 0.0125, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0042, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0025, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0030, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0037, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0019, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 422/425 (99%)


 The epoch is 10, average recall: 0.7241, average precision: 0.8400,average F1: 0.7778, average accuracy: 0.7966, average AUC: 0.8681
Train set: Average loss: 0.0024, Accuracy: 422/425 (99%)


